CustomerID,Gender,Age,Annual Income (₦),Spending Score (1–100),Marital Status,Profession,Membership Duration (Years),Mall Branch,City Type,Frequency of Visits/Month,Average Transaction Value (₦),Loyalty Card Holder (Yes/No),Preferred Payment Method
1,Male,49,4955725,56,Married,Student,8.5,A,Rural,28,24445,No,Transfer
2,Female,53,5320136,67,Married,Lawyer,5.1,C,Suburban,15,44880,No,POS
3,Male,67,1488824,95,Single,Business Owner,2.5,B,Urban,28,49386,No,Transfer
4,Male,54,187246,62,Divorced,Lawyer,4.7,C,Urban,20,43065,Yes,POS
5,Male,65,1735250,81,Widowed,Doctor,8.5,B,Rural,8,33870,Yes,POS
6,Female,31,3248223,52,Widowed,Unemployed,7.3,A,Urban,12,66820,Yes,Transfer
7,Male,44,2031656,5,Divorced,Lawyer,6.3,B,Suburban,1,61356,Yes,Transfer
8,Male,36,3041112,53,Married,Banker,7.1,C,Rural,26,74569,Yes,Cash
9,Male,48,2323184,80,Married,Lawyer,8.4,A,Rural,10,43686,No,Cash
10,Female,63,352951,17,Married,Doctor,1.9,B,Suburban,17,47617,Yes,POS
11,Male,26,3643343,31,Married,Student,8.5,A,Rural,20,102397,No,POS
12,Male,55,3046301,16,Divorced,Lawyer,8.2,C,Rural,29,43121,Yes,POS
13,Male,34,4994028,57,Single,Student,5.0,C,Urban,4,18946,No,POS
14,Male,36,3239783,21,Divorced,Engineer,4.3,C,Urban,30,67327,No,POS
15,Female,61,4173975,41,Divorced,Student,9.4,A,Urban,2,69339,Yes,POS
16,Male,21,1771093,39,Married,Teacher,8.3,A,Suburban,1,72988,Yes,Transfer
17,Female,65,3520512,37,Married,Teacher,9.9,B,Suburban,14,71526,No,Cash
18,Female,28,4212868,41,Married,Doctor,6.6,C,Rural,22,32065,Yes,Bank App
19,Female,39,3834548,53,Single,Teacher,0.8,A,Rural,28,63642,No,POS
20,Male,21,2660177,74,Single,Engineer,2.0,A,Rural,30,60017,Yes,Transfer
21,Female,34,3525674,32,Married,Banker,8.3,A,Rural,17,63924,Yes,POS
22,Male,25,3934120,25,Married,Banker,6.6,B,Rural,15,47638,No,Bank App
23,Female,63,4802082,53,Divorced,Unemployed,2.4,B,Rural,8,70921,Yes,Cash
24,Female,51,2158326,64,Divorced,Unemployed,0.6,C,Suburban,28,60164,Yes,Cash
25,Female,28,1324769,33,Divorced,Student,3.0,C,Urban,21,57310,Yes,POS
26,Female,48,1753032,38,Married,Banker,1.8,A,Rural,9,40401,Yes,Bank App
27,Female,28,3218102,92,Divorced,Unemployed,8.8,C,Rural,13,66559,No,Cash
28,Female,55,3006586,79,Widowed,Student,8.9,A,Urban,25,47456,Yes,Bank App
29,Female,38,3940976,8,Single,Business Owner,8.5,A,Suburban,16,55400,Yes,POS
30,Female,63,4246165,1,Divorced,Lawyer,1.4,A,Rural,24,48414,Yes,Cash
31,Male,47,172192,74,Single,Lawyer,1.8,C,Rural,28,65396,Yes,Transfer
32,Male,27,2278390,59,Divorced,Lawyer,1.8,A,Rural,23,53282,No,Transfer
33,Female,43,3318350,35,Single,Student,3.0,A,Suburban,1,31430,Yes,POS
34,Female,44,4672768,97,Married,Banker,1.2,B,Suburban,5,69330,Yes,Transfer
35,Female,25,2919929,16,Widowed,Student,9.8,B,Suburban,18,66712,Yes,Transfer
36,Male,56,5048177,14,Single,Business Owner,8.6,A,Urban,5,59240,No,POS
37,Female,25,3827069,5,Divorced,Lawyer,1.2,C,Rural,23,54894,Yes,Transfer
38,Male,25,3571164,80,Married,Business Owner,1.9,C,Urban,12,33967,No,Transfer
39,Male,51,2834663,21,Widowed,Unemployed,3.0,B,Rural,10,50813,Yes,Transfer
40,Male,33,2963083,58,Married,Student,7.9,B,Urban,18,36562,No,Cash
41,Male,58,3496173,57,Married,Unemployed,7.3,A,Urban,15,60032,No,Bank App
42,Male,30,2706930,11,Single,Engineer,6.5,C,Suburban,13,64148,No,Cash
43,Female,40,4668842,71,Widowed,Lawyer,9.2,B,Rural,23,72457,Yes,Bank App
44,Female,29,4319366,8,Married,Teacher,0.8,C,Rural,2,53056,No,Cash
45,Female,44,4796992,81,Divorced,Lawyer,2.0,B,Suburban,23,60115,Yes,Transfer
46,Female,39,1440153,94,Married,Teacher,2.3,C,Rural,24,43122,Yes,Transfer
47,Female,49,1390888,14,Divorced,Banker,1.1,B,Urban,20,26941,No,Cash
48,Male,66,3731856,49,Married,Doctor,6.4,A,Urban,23,37636,Yes,Cash
49,Female,44,2879075,33,Widowed,Unemployed,2.5,C,Urban,16,62486,No,Transfer
50,Female,19,3388261,24,Widowed,Banker,5.1,C,Rural,8,44568,No,Cash
51,Male,62,1323869,71,Widowed,Unemployed,7.0,C,Urban,9,18827,No,Transfer
52,Female,50,813049,38,Single,Teacher,6.2,C,Urban,29,48630,No,Cash
53,Male,43,3348870,79,Married,Business Owner,3.3,A,Urban,16,43490,No,Cash
54,Female,45,1860172,50,Widowed,Engineer,4.4,C,Rural,12,46614,No,Cash
55,Male,36,4071158,89,Divorced,Student,3.7,C,Suburban,14,58679,No,Transfer
56,Female,60,2076942,64,Divorced,Unemployed,8.6,B,Urban,8,91420,Yes,Bank App
57,Female,22,1668790,81,Married,Business Owner,4.5,B,Urban,28,27394,Yes,Bank App
58,Male,50,-399978,97,Widowed,Business Owner,1.1,C,Rural,6,79728,Yes,Cash
59,Male,37,4871319,2,Single,Engineer,6.4,A,Rural,1,51907,Yes,Bank App
60,Male,47,4046325,39,Widowed,Banker,2.4,A,Suburban,14,72359,Yes,Cash
61,Male,62,756453,74,Married,Doctor,3.7,C,Urban,29,58260,No,Cash
62,Male,25,3815,14,Single,Business Owner,3.6,B,Rural,25,50810,No,Bank App
63,Male,55,2104385,12,Divorced,Engineer,1.2,B,Rural,23,58737,Yes,Transfer
